=== 1. PCA 분석 결과 (7개 주성분) ===
PC1,PC2,PC3,PC4,PC5,PC6,PC7
-261.056553302628,-0.49647920292386827,-0.3844665862237368,-0.25522346867089374,-0.6572725377278368,0.5250063198836629,0.07462995907282695
1499.7380695716133,1.5837512004148753,-1.458096450664192,0.5496748836320919,0.3437817448256005,-0.4500873677315124,0.9993393139636704
-261.0568347592942,0.27635238123891764,-0.010615442953648798,1.1387184589742962,-0.3624613963258596,0.4354520291385318,0.0990566970504111
1499.7376915766204,2.492274538957005,-1.7275653595714404,0.11681938256031914,0.8181109664517625,0.287652300554604,0.6876269616638209
-261.05670919811763,-0.24489059053942874,-0.4533717596228802,0.2146389269778205,-0.5000147218143514,-0.08879362501192278,1.1435153247628584
-261.05689996483153,0.8306058435283585,0.7121402315986065,0.42608206535611537,1.1766318112764762,0.14203899353760727,-0.009293662806172257
-261.0569035112924,0.605466363005001,0.24968461813674886,1.4884151376549595,-0.23858296798227335,0.0031488935669880635,-0.15610642186363313
-261.0568525066384,0.035736960006996873,-0.7089007725646768,0.7283582370430642,0.45701024401536927,-0.5103945007970374,1.0109123274319975
-261.0576001332468,1.8180549487662487,-0.9425438121158273,-0.20840709385311887,-0.6602789427936411,0.04653118618609932,-0.39311328046529803
1499.738280568894,1.6917656196957638,0.5301610038031991,1.9205247611359448,-0.0963768160760558,0.8000935853287614,0.19231643706582957
-261.05708538716084,0.7928201592085529,-0.6900884196978798,-0.22837068182938747,-0.27708183219907856,-0.5621515935660103,1.1361605341810812
-261.0565533026286,-0.49647920292385506,-0.38446658622374213,-0.2552234686709005,-0.6572725377278361,0.5250063198836585,0.07462995907282528
-261.05568910584776,-1.7192670534119683,1.9590872492847387,-1.0029992011448434,0.20549648643332225,0.6363507854367645,-0.009707906082402386
-261.05707614952587,0.5747090987581704,-0.2860933236421185,1.9171533087171064,0.8020022770515415,0.9779546463525732,-0.025559465013379166
-261.0568915153908,0.2822025450004919,-0.3084954066937203,0.9849318486912718,-0.02348700789299709,-0.6735034026791534,1.0067609871159562
-261.0565171392487,-0.38241890239534404,0.6908060312664092,1.0075714770356035,-0.2072580045105435,-0.1508968817915357,-0.3085108208309314
-261.0569024449967,0.4975810751882309,0.4083262538736139,0.97970921362745,-0.5113716500962677,0.3425258494966419,-0.07439889749481435
-261.05775718256547,2.4383649302647847,-0.41898895934602753,0.48246143162262634,-0.194012520800571,-0.5614071176476845,1.0742574433792957
-261.0567598498761,0.12506140966974222,0.18141359648745065,0.4585171728141532,-0.6419816119694088,0.5209305291856096,-0.01181207756009647
-261.0567598498761,0.12506140966974222,0.18141359648745065,0.4585171728141532,-0.6419816119694088,0.5209305291856096,-0.01181207756009647
-261.05678064553797,0.33681507733666666,0.3341285367248281,0.5744635596937928,-0.41545129309867496,-0.11111276188615705,-0.21352344225666156
-261.05641983661155,-0.7557375876791208,-0.6791043514313243,-0.5818253923645837,-0.27275763442917483,0.6785137797530982,-0.09434925970198874
-261.05680869217736,1.0848069099627682,1.5542712849885159,-0.909455618880331,1.6475460983593593,-0.46689361125767015,-0.1590290445090337
-261.05692006702105,0.2560419547422495,-0.71536058259314,0.8765069085674054,1.3337513512050267,-0.578685006270442,-0.6381613595247249
-261.05708538716084,0.7928201592085529,-0.6900884196978798,-0.22837068182938747,-0.27708183219907856,-0.5621515935660103,1.1361605341810812
-261.0556589989201,-2.2481207187956076,0.5375671034499414,-0.06026173268716808,0.10136730008446507,0.5115564425741077,-0.10853189027131525
-261.0565558161602,-0.3652275440043627,-0.19900184922626488,0.06852582365969641,-0.8208245106380024,0.682659133091646,0.0014463586258475914
-261.0562432929054,-1.0953600833435602,-0.06204954972223116,0.13431990788960335,-0.00924635822373483,-0.47375393924564985,-0.3668798691607852
1499.7387395495016,0.7832212064963461,1.1195313242673535,1.4830607397285611,-0.16627607615693826,0.020836850704137364,0.1689517966875143
-261.0567824666027,0.3262900373291213,0.29268305271920364,0.5281566490752816,-0.3659202155594223,-0.22664939766817888,-0.26624197807643984
-261.05692869736225,0.439345676658662,-0.045683784279599314,1.4705743376422886,-0.20376371556738207,-0.04802615329381659,-0.2967553735523668
-261.0568675649932,0.7669471604052688,0.6983717574084832,-0.04257680286337186,1.65800373361119,-0.1356912804371362,-0.14279756828280732
1499.7382422917872,1.5121054209279148,-1.0167519253398596,0.5130268455468076,-0.24340578618149633,0.7106962903132084,-0.17326616921378546
-261.0566982717615,0.3885354732238139,0.5884426815802648,-0.6252890880048627,1.5665359794488403,0.6221414084063641,-0.0373094976311048
-261.05682819511645,0.05136818252126944,-0.6181301844844662,0.44164723977043274,0.5528794495256466,-0.7839888826293074,0.9615792333600267
1499.737769673099,2.3345499959337124,-1.6539217791791736,0.1569015651315632,-0.4991079211536851,-0.13159158501023455,1.1448764369563307
1499.7385727540927,0.6415970680918666,-0.7593840259868404,0.6048400933230842,-0.19435573033788067,-0.35706343783914135,1.1459822457915778
-261.05605841922005,-1.235960989983778,1.2810773774881765,1.7525858153431977,-0.09530268555179684,0.8794141827108032,0.009047155085720193
-261.0556589989201,-2.2481207187956076,0.5375671034499414,-0.06026173268716808,0.10136730008446507,0.5115564425741077,-0.10853189027131525
-261.0563832645701,-1.1530176253205784,-1.4024820019437036,-0.8255165120191907,-0.41938347890340083,-0.21754810683487358,1.0638873187032822
-261.0568037394577,-0.13262110172085587,-0.9210942752747227,0.3969341138660433,0.5618222836312876,-0.8115712747336362,0.865404213552042
-261.05742984246496,1.8639070214042013,0.3977049546400066,1.266053106297357,-0.2515225462709101,-0.09630687703299673,1.3510565093587261
-261.0569780187616,0.3625023523223663,-0.47563400797416105,1.2094671884409123,0.5259395201525809,-0.5386885373233224,1.0168931780573314
1499.738511398961,0.9760291533606132,-0.36583649588255956,0.48192083354012166,0.06059309355289852,-0.957910459694176,1.0370203482896958
-261.0568800909405,0.36395143451826434,-0.024727730521940935,0.9257950464131997,-0.05003133952228515,-0.445271869197718,1.0612107647126632
-261.0568688885193,0.763538109931369,0.8067246673268096,-0.41315058445586067,1.0728903479042742,-1.2014923147425352,-0.8745820752179423
-261.0573666682455,1.6162753464566373,-0.13583099962052647,1.0799237598189124,0.02095765087849431,-0.6395132619782594,-0.5446379555722601
-261.05718283640834,1.0467985398664,-0.6503829387897487,0.7290873580399126,-0.08128598230968524,0.3728415526631593,-0.32822210237387256
-261.0567332539585,-0.12385325256206124,-0.5414226604538556,0.3587461816152962,0.2156317920821443,-0.06405398818924399,1.2797497991904596
1499.738725068693,1.2198526101937461,1.7620309842344777,1.305102269935461,0.08885187003211194,-0.6464837118610705,-0.17108538764639405
-261.0571569820625,0.6598487734813782,-1.205610956500229,0.2680912060895212,0.09851010093851835,0.008934164952593464,1.1844873906387847
-261.0563832645701,-1.1530176253205784,-1.4024820019437036,-0.8255165120191907,-0.41938347890340083,-0.21754810683487358,1.0638873187032822
-261.05568910584776,-1.7192670534119683,1.9590872492847387,-1.0029992011448434,0.20549648643332225,0.6363507854367645,-0.009707906082402386
-261.0567769426119,0.3344732663829919,0.09049571309805489,0.7385200296941398,-0.13401306408636,-0.40125287603691734,-0.28088333579773495
-261.0568694611266,0.49923139654417836,0.1347567669012801,1.2965071504453383,-0.20137420717844323,-0.12180261300419126,-0.21856165211706574
-261.0571596453503,1.1464867997086257,-0.34896727318142756,0.4932362122140001,-0.3430855585907994,-0.17431564813114292,-0.23190055492125294
-261.0568118794066,0.0890911510303907,-0.40192328844816244,0.6577144805166663,-0.1636399824138801,-0.21670215222792408,-0.4206386630879152
-261.05690898332705,0.4005387345646235,-0.28613913787674855,1.1431138895326962,0.5024337439750417,-0.4038297933763939,-0.40672040775192647
-261.05764980177327,2.488152482569389,-0.22082569440684505,-0.4039233245634506,1.5258768126325934,0.31187470220745905,-0.3004572554655196
-261.05672921504777,-0.10317648017983531,-0.4591420303163626,0.5223919441567527,-0.28712704101525255,-0.20075178861101847,1.2013805121141328
-261.056610037674,-0.22190556005487455,-0.35623577549704555,-0.33599773743325345,-0.06298920378791895,-0.6570840380657723,0.5132621213359841
-261.0575868741557,2.480280745173181,0.14223844608513286,0.164978521855288,-0.5504579352659608,-0.03432588139217252,-0.27459616927716096
-261.0580647982272,3.125466560366247,-0.7956865463470462,0.12649062542225592,-0.5567460702409033,0.04073656932081179,-0.2857099641382435
-261.0566803007717,-0.11910699953071271,-0.3753637945743152,0.8272283153983708,0.12374013590734814,1.4157705208905618,0.12697088694065192
-261.05653245768485,-0.636811157582396,-0.9366969972426307,-0.6615189194343226,0.8695095291228908,0.3377132679055092,0.8018053937362773
-261.05568910584776,-1.7192670534119683,1.9590872492847387,-1.0029992011448434,0.20549648643332225,0.6363507854367645,-0.009707906082402386
